"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Bais HaMedrash and Mesivta of Baltimore","6823 Old Pimlico Road, Baltimore, Maryland 21209-1613","www.bhmb.edu/","4-year, Private not-for-profit","Bachelor's degree","Suburb: Large","Yes","81","81","55%","45%","Fall 2015","$11,832","-","476601","04188400"
"Bowie State University","14000 Jericho Park Rd, Bowie, Maryland 20715-9465","www.bowiestate.edu/","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","Suburb: Large","Yes","6308","5381","42%","30%","Fall 2015","$14,290","-","162007","00206200"
"Capitol Technology University","11301 Springfield Rd, Laurel, Maryland 20708","www.captechu.edu/","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","Yes","796","331","51%","NA","Fall 2015","$24,946","-","162061","00143600"
"Coppin State University","2500 West North Avenue, Baltimore, Maryland 21216-3698","www.coppin.edu/","4-year, Public","Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Large","Yes","2101","1845","26%","40%","Fall 2015","$5,615","-","162283","00206800"
"Denver Seminary - Washington DC","3600 Brightseat Road, Landover, Maryland 20785-2414","www.denverseminary.edu/dc/","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree","Suburb: Large","","","","NA","NA","Fall 2015","NA","-","12697901","00135201"
"Frostburg State University","101 Braddock Road, Frostburg, Maryland 21532-1099","www.frostburg.edu/","4-year, Public","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","Suburb: Small","Yes","4452","3680","48%","12%","Fall 2015","$16,720","-","162584","00207200"
"Goucher College","1021 Dulaney Valley Rd, Baltimore, Maryland 21204-2794","www.goucher.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Small","Yes","1917","1057","59%","NA","Fall 2015","$20,144","-","162654","00207300"
"Hood College","401 Rosemont Ave, Frederick, Maryland 21701","www.hood.edu/","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Small","Yes","2095","1217","66%","29%","Fall 2015","$23,755","-","162760","00207600"
"Johns Hopkins University","3400 N Charles St, Baltimore, Maryland 21218-2688","www.jhu.edu/","4-year, Private not-for-profit","Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","32049","6132","95%","2%","Fall 2015","$20,680","-","162928","00207700"
"Loyola University Maryland","4501 N Charles St, Baltimore, Maryland 21210-2699","www.loyola.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","5140","3787","81%","14%","Fall 2015","$32,901","-","163046","00207800"
"Maple Springs Baptist Bible College and Seminary","4130 Belt Rd, Capitol Heights, Maryland 20743","www.msbbcs.edu/","4-year, primarily associate's, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree","Suburb: Large","No","35","20","100%","NA","Fall 2015","NA","-","446394","03822400"
"Maryland Institute College of Art","1300 Mount Royal Avenue, Baltimore, Maryland 21217-4134","www.mica.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Large","Yes","2147","1540","74%","NA","Fall 2015","$28,569","-","163295","00208000"
"Maryland University of Integrative Health","7750 Montpelier Road, Laurel, Maryland 20723","www.muih.edu/","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice","Suburb: Large","No","807","","NA","NA","Fall 2015","NA","-","164085","02578400"
"McDaniel College","2 College Hill, Westminster, Maryland 21157","www.mcdaniel.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Small","Yes","3053","1757","65%","1%","Fall 2015","$22,161","-","164270","00210900"
"Morgan State University","1700 East Cold Spring Lane, Baltimore, Maryland 21251-0001","https://www.morgan.edu/","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Large","Yes","8469","7034","44%","27%","Fall 2015","$16,167","-","163453","00208300"
"Mount St. Mary's University","16300 Old Emmitsburg Road, Emmitsburg, Maryland 21727-7799","https://msmary.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","Town: Fringe","Yes","2570","2055","61%","34%","Fall 2015","$24,471","-","163462","00208600"
"Ner Israel Rabbinical College","400 Mount Wilson Ln, Baltimore, Maryland 21208","https://nirc.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","449","261","35%","32%","Fall 2015","$14,685","-","163532","00208700"
"Notre Dame of Maryland University","4701 N Charles St, Baltimore, Maryland 21210-2476","www.ndm.edu/","4-year, Private not-for-profit","Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","2184","807","59%","26%","Fall 2015","$26,574","-","163578","00206500"
"Salisbury University","1101 Camden Ave, Salisbury, Maryland 21801-6862","https://www.salisbury.edu/","4-year, Public","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Small","Yes","7570","6695","72%","21%","Fall 2015","$18,885","-","163851","00209100"
"St. John's College","60 College Ave, Annapolis, Maryland 21401","www.sjc.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Large","Yes","540","473","75%","12%","Fall 2015","$29,431","-","163976","00209200"
"St. Mary's College of Maryland","47645 College Drive, St. Mary's City, Maryland 20686","www.smcm.edu/","4-year, Public","Bachelor's degree|Master's degree","Suburb: Small","Yes","1544","1519","73%","23%","Fall 2015","$20,213","-","163912","00209500"
